route_name,origin,destination,service_type,route_name_simple,type
L3,La Roche Sur Foron,Saint Gervais Les Bains Le Fayet,day,la Roche Sur Foron → Saint Gervais les Bains le Fayet,day
L3,Saint Gervais Les Bains Le Fayet,Annemasse,day,Saint Gervais les Bains le Fayet → Annemasse,day
807B,Colmar,Paris Est,day,Colmar → Paris Est,day
L7,Annemasse,Geneve Aeroport,day,Annemasse → Geneve Aeroport,day
L7,Annemasse,Vernier,day,Annemasse → Vernier,day
C52,Forbach,Metz,day,Forbach → Metz,day
C52,Bening Les Saint Avold,Metz,day,Bening les Saint Avold → Metz,day
805A,Paris Est,Lorraine Tgv,day,Paris Est → Lorraine Tgv,day
805B,Paris Est,Remiremont,day,Paris Est → Remiremont,day
805B,Paris Est,Saint Die Des Vosges,day,Paris Est → Saint Die des Vosges,day
801A,Paris Est,Sedan,day,Paris Est → Sedan,day
801A,Paris Est,Charleville Mezieres,day,Paris Est → Charleville Mezieres,day
801B,Bar Le Duc,Paris Est,day,Bar le Duc → Paris Est,day
801B,Paris Est,Chalons En Champagne,day,Paris Est → Chalons En Champagne,day
803B,Paris Est,Luxembourg,day,Paris Est → Luxembourg,day
P13,Amberieu En Bugey,Bourg En Bresse Gare Routiere,day,Amberieu En Bugey → Bourg En Bresse,day
P28,Lyon Part Dieu Gare Routiere,St Etienne Chatcrx G Routiere,day,Lyon Part Dieu → St Etienne Chatcrx G,day
P13,Bourg En Bresse Gare Routiere,Macon,day,Bourg En Bresse → Macon,day
P13,Bourg En Bresse Gare Routiere,Macon Loche Tgv,day,Bourg En Bresse → Macon Loche Tgv,day
C23,Bourg En Bresse Gare Routiere,Lyon Part Dieu Gare Routiere,day,Bourg En Bresse → Lyon Part Dieu,day
E15,Lyon Part Dieu Gare Routiere,Oyonnax,day,Lyon Part Dieu → Oyonnax,day
E15,Morez Lycee,Lyon Part Dieu Gare Routiere,day,Morez Lycee → Lyon Part Dieu,day
E15,Saint Claude,Lyon Part Dieu Gare Routiere,day,Saint Claude → Lyon Part Dieu,day
E03,St Etienne Chatcrx G Routiere,Valence Gare Routiere,day,St Etienne Chatcrx G → Valence,day
P72,Lamure Sur Azergues,Oingt Route De Saint Laurent,day,Lamure Sur Azergues → Oingt Route de Saint Laurent,day
P72,Poule Les Echarmeaux Mairie,Val D Oingt Saint Laurent D Oingt Gare,day,Poule les Echarmeaux Mairie → Val D Oingt Saint Laurent D Oingt,day
P72,Lozanne,Chambost Allieres,day,Lozanne → Chambost Allieres,day
