route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country,distance_km,type
S11,Bannwil,Langenthal,night,Bannwil → Langenthal,CH,CH,4.5,night
TER,Luneville,Bar Le Duc,night,Luneville → Bar le Duc,CH,CH,99.79,night
TER,Metz Ville,Bar Le Duc,night,Metz Ville → Bar le Duc,CH,CH,82.7,night
TER,Bar Le Duc,Nancy,night,Bar le Duc → Nancy,CH,CH,74.43,night
TGV,Paris Est,Bar Le Duc,night,Paris Est → Bar le Duc,CH,CH,205.88,night
TER,Revigny,Bar Le Duc,night,Revigny → Bar le Duc,CH,CH,14.47,night
TER,Strasbourg,Bar Le Duc,night,Strasbourg → Bar le Duc,CH,CH,189.68,night
EXT,Baretswil,Bauma,night,Baretswil → Bauma,CH,CH,4.02,night
TER,Selestat,Barr,night,Selestat → Barr,CH,CH,15.94,night
TER,Strasbourg,Barr,night,Strasbourg → Barr,CH,CH,28.79,night
TER,Bas Monistrol,Saint Etienne Chateaucreux,night,Bas Monistrol → Saint Etienne Chateaucreux,CH,CH,25.98,night
EC 85,Basel Sbb,Basel Bad Bf,night,Basel Sbb → Basel,CH,CH,2.6,night
Basel Bad Bf → Berlin Ostbahnhof,Basel Bad Bf,Berlin Ostbahnhof,night,Basel → Berlin Ostbahnhof,CH,DE,688.94,night
ICE,Basel Bad Bf,Bern,night,Basel → Bern,CH,CH,69.93,night
