route_name,origin,destination,service_type,route_name_simple,origin_country,destination_country
R,sonceboz sombeval,moutier,night,Sonceboz Sombeval → Moutier,CH,CH
R,biel bienne,sorvilier,night,Biel Bienne → Sorvilier,CH,CH
R,moutier,biel bienne,night,Moutier → Biel Bienne,CH,CH
R,moutier,reuchenette pery,night,Moutier → Reuchenette Pery,CH,CH
R,le landeron,neuchatel,night,le Landeron → Neuchatel,CH,CH
S20,solothurn,biel bienne bozingenfeld champ,night,Solothurn → Biel Bienne Bozingenfeld Champ,CH,CH
S20,grenchen sud,biel bienne,night,Grenchen Sud → Biel Bienne,CH,CH
S20,biel bienne,solothurn allmend,night,Biel Bienne → Solothurn Allmend,CH,CH
S20,olten,deitingen,night,Olten → Deitingen,CH,CH
S20,olten,oensingen,night,Olten → Oensingen,CH,CH
S20,solothurn,wangen bei olten,night,Solothurn → Wangen Bei Olten,CH,CH
S20,biel bienne,solothurn west,night,Biel Bienne → Solothurn West,CH,CH
S20,oensingen,selzach,night,Oensingen → Selzach,CH,CH
S20,solothurn,olten hammer,night,Solothurn → Olten Hammer,CH,CH
S20,langendorf,egerkingen,night,Langendorf → Egerkingen,CH,CH
S20,langendorf,hagendorf,night,Langendorf → Hagendorf,CH,CH
S20,langendorf,oensingen,night,Langendorf → Oensingen,CH,CH
S20,oensingen,solothurn,night,Oensingen → Solothurn,CH,CH
S20,oberdorf so,oberbuchsiten,night,Oberdorf So → Oberbuchsiten,CH,CH
S20,oberdorf so,egerkingen,night,Oberdorf So → Egerkingen,CH,CH
S20,lommiswil,oberbuchsiten,night,Lommiswil → Oberbuchsiten,CH,CH
S20,lommiswil,egerkingen,night,Lommiswil → Egerkingen,CH,CH
S21,solothurn,cremines,night,Solothurn → Cremines,CH,CH
S21,solothurn,oberdorf so,night,Solothurn → Oberdorf So,CH,CH
S21,moutier,langendorf,night,Moutier → Langendorf,CH,CH
S21,solothurn,gansbrunnen,night,Solothurn → Gansbrunnen,CH,CH
S23,baden,schonenwerd so,night,Baden → Schonenwerd So,CH,CH
S23,aarau,langenthal,night,Aarau → Langenthal,CH,CH
S23,olten,lupfig,night,Olten → Lupfig,CH,CH
S23,olten,langenthal,night,Olten → Langenthal,CH,CH
S23,brugg ag,dulliken,night,Brugg Ag → Dulliken,CH,CH
S23,baden,othmarsingen,night,Baden → Othmarsingen,CH,CH
S23,baden,dulliken,night,Baden → Dulliken,CH,CH
S23,baden,aarau,night,Baden → Aarau,CH,CH
S23,aarau,olten,night,Aarau → Olten,CH,CH
S23,langenthal,rupperswil,night,Langenthal → Rupperswil,CH,CH
S25,brugg ag,muri ag,night,Brugg Ag → Muri Ag,CH,CH
S25,brugg ag,wohlen ag,night,Brugg Ag → Wohlen Ag,CH,CH
S25,brugg ag,dottikon dintikon,night,Brugg Ag → Dottikon Dintikon,CH,CH
S26,muri ag,lenzburg,night,Muri Ag → Lenzburg,CH,CH
S26,muri ag,olten,night,Muri Ag → Olten,CH,CH
S26,aarau,muri ag,night,Aarau → Muri Ag,CH,CH
S26,wohlen ag,lenzburg,night,Wohlen Ag → Lenzburg,CH,CH
S26,lenzburg,rotkreuz,night,Lenzburg → Rotkreuz,CH,CH
S26,rotkreuz,hendschiken,night,Rotkreuz → Hendschiken,CH,CH
S26,muri ag,daniken so,night,Muri Ag → Daniken So,CH,CH
S26,olten,boswil bunzen,night,Olten → Boswil Bunzen,CH,CH
S26,lenzburg,oberruti,night,Lenzburg → Oberruti,CH,CH
S26,wohlen ag,olten,night,Wohlen Ag → Olten,CH,CH
S26,muri ag,dulliken,night,Muri Ag → Dulliken,CH,CH
S26,rotkreuz,muri ag,night,Rotkreuz → Muri Ag,CH,CH
S27,baden,bad zurzach,night,Baden → Zurzach,CH,CH
S27,rekingen ag,baden,night,Rekingen Ag → Baden,CH,CH
S27,wettingen,bad zurzach,night,Wettingen → Zurzach,CH,CH
S27,baden,koblenz,night,Baden → Koblenz,CH,CH
S27,koblenz,bad zurzach,night,Koblenz → Zurzach,CH,CH
S27,turgi,bad zurzach,night,Turgi → Zurzach,CH,CH
S28,lenzburg,zofingen,night,Lenzburg → Zofingen,CH,CH
S28,suhr,zofingen,night,Suhr → Zofingen,CH,CH
S28,lenzburg,suhr,night,Lenzburg → Suhr,CH,CH
S28,lenzburg,kolliken,night,Lenzburg → Kolliken,CH,CH
S28,suhr,kolliken,night,Suhr → Kolliken,CH,CH
S28,kolliken,zofingen,night,Kolliken → Zofingen,CH,CH
S29,olten,sursee,night,Olten → Sursee,CH,CH
S29,brugg ag,brittnau wikon,night,Brugg Ag → Brittnau Wikon,CH,CH
S29,aarau,turgi,night,Aarau → Turgi,CH,CH
S29,turgi,zofingen,night,Turgi → Zofingen,CH,CH
S29,aarau,zofingen,night,Aarau → Zofingen,CH,CH
S29,zofingen,rupperswil,night,Zofingen → Rupperswil,CH,CH
S29,olten,zofingen,night,Olten → Zofingen,CH,CH
S29,turgi,olten,night,Turgi → Olten,CH,CH
S29,rupperswil,olten,night,Rupperswil → Olten,CH,CH
S29,turgi,brugg ag,night,Turgi → Brugg Ag,CH,CH
S29,zofingen,brugg ag,night,Zofingen → Brugg Ag,CH,CH
S29,zofingen,wildegg,night,Zofingen → Wildegg,CH,CH
S29,baden,daniken so,night,Baden → Daniken So,CH,CH
S29,baden,brugg ag,night,Baden → Brugg Ag,CH,CH
S29,aarau,brugg ag,night,Aarau → Brugg Ag,CH,CH
S29,aarau,wildegg,night,Aarau → Wildegg,CH,CH
TGV,mulhouse,zurich hb,night,Mulhouse → Zurich Hb,CH,CH
TGV,mulhouse,basel sbb,night,Mulhouse → Basel Sbb,CH,CH
TGV,paris gare de lyon,zurich hb,night,Paris de Lyon → Zurich Hb,CH,CH
TGV,frasne,lausanne,night,Frasne → Lausanne,CH,CH
TGV,bellegarde sur valserine,lausanne,night,Bellegarde Sur Valserine → Lausanne,CH,CH
TGV,bellegarde sur valserine,geneve,night,Bellegarde Sur Valserine → Geneve,CH,CH
TGV,geneve,paris gare de lyon,night,Geneve → Paris de Lyon,CH,CH
IC3,zurich hb,lachen sz,night,Zurich Hb → Lachen Sz,CH,CH
RJX,wien hbf,zurich hb,night,Wien → Zurich Hb,CH,CH
SN,winterthur,glanzenberg,night,Winterthur → Glanzenberg,CH,CH
SN,olten,mellingen heitersberg,night,Olten → Mellingen Heitersberg,CH,CH
SN,olten,schlieren,night,Olten → Schlieren,CH,CH
SN,olten,killwangen spreitenbach,night,Olten → Killwangen Spreitenbach,CH,CH
SN,zurich hb,winterthur,night,Zurich Hb → Winterthur,CH,CH
SN,aarau,neuenhof,night,Aarau → Neuenhof,CH,CH
SN,aarau,glanzenberg,night,Aarau → Glanzenberg,CH,CH
SN,pfaffikon sz,rapperswil sg,night,Pfaffikon Sz → Rapperswil Sg,CH,CH
SN,rapperswil sg,zurich hardbrucke,night,Rapperswil Sg → Zurich Hardbrucke,CH,CH
SN,zurich hb,seedamm,night,Zurich Hb → Seedamm,CH,CH
SN,knonau,zurich hardbrucke,night,Knonau → Zurich Hardbrucke,CH,CH
SN,affoltern am albis,zurich stadelhofen,night,Affoltern Am Albis → Zurich Stadelhofen,CH,CH
SN,pfaffikon sz,uster,night,Pfaffikon Sz → Uster,CH,CH
SN,zurich hb,wurenlos,night,Zurich Hb → Wurenlos,CH,CH
SN,wurenlos,zurich stadelhofen,night,Wurenlos → Zurich Stadelhofen,CH,CH
SN,winterthur,zurich affoltern,night,Winterthur → Zurich Affoltern,CH,CH
SN,zurich hb,bassersdorf,night,Zurich Hb → Bassersdorf,CH,CH
SN,zurich hb,meilen,night,Zurich Hb → Meilen,CH,CH
